ui,name,mesh_number
D051137,selenium-binding proteins,D12.776.863
D051140,selenoproteins,D12.776.864
D051142,retinol o-fatty-acyltransferase,D08.811.913.050.646
D051146,n-acylsphingosine galactosyltransferase,D08.811.913.400.450.400.460
D051147,ganglioside galactosyltransferase,D08.811.913.400.450.400.475
D051149,selenoprotein p,D12.776.864.124
D051150,methionine sulfoxide reductases,"D08.811.682.730, D12.776.864.100"
D051151,selenoprotein w,D12.776.864.500
D051152,clusterin,"D12.776.395.207, D12.776.580.215"
D051153,wnt proteins,"D12.776.467.984, D23.529.984"
D051154,wnt2 protein,"D12.776.467.984.200, D12.776.624.664.700.978, D23.529.984.200"
D051155,wnt1 protein,"D12.776.467.984.100, D12.776.624.664.700.967, D23.529.984.100"
D051157,frizzled receptors,"D12.776.543.750.695.017, D12.776.543.750.850.500"
D051176,beta catenin,"D12.776.091.249, D12.776.220.145.500, D12.776.930.130"
D051177,catenins,D12.776.220.145
D051178,alpha catenin,D12.776.220.145.249
D051179,plakins,D12.776.220.790
D051180,desmoplakins,D12.776.220.790.500
D051181,desmosomal cadherins,"D12.776.395.550.200.200.500, D12.776.543.550.200.200.500, D23.050.301.350.200.500"
D051182,desmogleins,"D12.776.395.550.200.200.500.500, D12.776.543.550.200.200.500.500, D23.050.301.350.200.500.500"
D051183,desmoglein 1,"D12.776.395.550.200.200.500.500.500, D12.776.543.550.200.200.500.500.500, D23.050.301.350.200.500.500.500, D23.050.422.124"
D051184,desmoglein 3,"D12.776.395.550.200.200.500.500.750, D12.776.543.550.200.200.500.500.750, D23.050.301.350.200.500.500.750, D23.050.422.249"
D051185,gamma catenin,"D12.776.091.500, D12.776.220.145.750"
D051186,armadillo domain proteins,D12.776.091
D051187,desmocollins,"D12.776.395.550.200.200.500.249, D12.776.543.550.200.200.500.249, D23.050.301.350.200.500.249"
D051188,knowledge bases,"L01.224.050.375.480, L01.313.500.750.300.550"
D051189,murinae,B01.050.150.900.649.313.992.635.505
D051190,plectin,"D12.776.220.790.750, D12.776.744.736"
D051191,plakophilins,"D12.776.091.750, D12.776.220.885"
D051192,"receptors, pattern recognition",D12.776.543.750.705.910
D051193,toll-like receptors,D12.776.543.750.705.910.500
D051194,toll-like receptor 1,D12.776.543.750.705.910.500.100
D051195,toll-like receptor 2,D12.776.543.750.705.910.500.200
D051196,toll-like receptor 3,D12.776.543.750.705.910.500.300
D051197,toll-like receptor 4,D12.776.543.750.705.910.500.400
D051198,toll-like receptor 5,D12.776.543.750.705.910.500.500
D051199,toll-like receptor 7,D12.776.543.750.705.910.500.700
D051200,toll-like receptor 8,D12.776.543.750.705.910.500.800
D051201,toll-like receptor 10,D12.776.543.750.705.910.500.910
D051216,toll-like receptor 6,D12.776.543.750.705.910.500.600
D051217,toll-like receptor 9,"D12.776.260.750, D12.776.543.750.705.910.500.900"
D051218,lymphocyte antigen 96,"D12.776.157.478, D23.050.301.593"
D051219,pituitary adenylate cyclase-activating polypeptide,"D12.644.276.860.887, D12.644.400.625, D12.776.467.860.887, D12.776.631.600.887, D12.776.631.650.625, D23.529.850.887"
D051220,pisiform bone,A02.835.232.087.319.150.600
D051221,triquetrum bone,A02.835.232.087.319.150.831
D051222,trapezium bone,A02.835.232.087.319.150.800
D051223,trapezoid bone,A02.835.232.087.319.150.805
D051224,capitate bone,A02.835.232.087.319.150.150
D051225,hamate bone,A02.835.232.087.319.150.400
D051228,geranyltranstransferase,D08.811.913.225.450
D051229,3-phosphoshikimate 1-carboxyvinyltransferase,D08.811.913.225.735
D051231,farnesyltranstransferase,D08.811.913.225.437
D051232,geranylgeranyl-diphosphate geranylgeranyltransferase,D08.811.913.225.443
D051236,"receptors, pituitary adenylate cyclase-activating polypeptide",D12.776.543.750.695.665
D051237,"receptors, pituitary adenylate cyclase-activating polypeptide, type i",D12.776.543.750.695.665.500
D051238,"receptors, vasoactive intestinal polypeptide, type i",D12.776.543.750.695.665.625.520
D051239,"receptors, vasoactive intestinal peptide, type ii",D12.776.543.750.695.665.625.500
D051242,caveolin 1,"D12.644.360.024.264, D12.776.157.057.010, D12.776.476.024.280, D12.776.543.990.100.500, D12.776.744.287"
D051243,caveolin 2,"D12.644.360.024.272, D12.776.157.057.012, D12.776.476.024.295, D12.776.543.990.100.750, D12.776.744.356"
D051244,caveolin 3,"D12.776.210.500.235, D12.776.543.990.100.875"
D051245,retinal bipolar cells,"A08.675.358.700, A08.675.650.850.750, A09.371.729.831.750, A11.671.358.700, A11.671.650.850.750"
D051246,"glucose transport proteins, facilitative","D12.776.157.530.500.500, D12.776.157.530.937.563, D12.776.543.585.500.500, D12.776.543.585.937.625"
D051247,sodium-glucose transport proteins,"D12.776.157.530.450.625.437, D12.776.157.530.500.750, D12.776.543.585.450.625.562, D12.776.543.585.500.750"
D051248,retinal horizontal cells,"A08.675.650.850.937, A09.371.729.831.937, A11.671.650.850.937"
D051256,oncogene protein v-maf,"D12.776.260.108.500.061.625, D12.776.624.664.520.750.860, D12.776.930.127.500.061.625, D12.776.964.700.750.817, D12.776.964.775.750.817"
D051257,proto-oncogene proteins c-maf,"D12.776.260.108.500.061.750, D12.776.624.664.700.184, D12.776.930.127.500.061.750"
D051258,mafb transcription factor,"D12.776.260.108.500.061.500, D12.776.930.127.500.061.500"
D051259,mafg transcription factor,"D12.776.260.108.500.500.500, D12.776.260.108.656.750.500, D12.776.260.235.750.750.500, D12.776.930.127.500.500.500, D12.776.930.127.656.750.500, D12.776.930.216.750.750.500"
D051260,maff transcription factor,"D12.776.260.108.500.500.249, D12.776.260.108.656.750.249, D12.776.260.235.750.750.249, D12.776.930.127.500.500.249, D12.776.930.127.656.750.249, D12.776.930.216.750.750.249"
D051261,"granulomatosis, orofacial","C07.465.353, C23.550.384"
D051263,d-alanine transaminase,D08.811.913.477.700.347
D051264,nuclear respiratory factors,"D12.776.260.615, D12.776.930.618"
D051265,nf-e2-related factor 1,"D12.776.260.108.710, D12.776.930.127.710"
D051266,nuclear respiratory factor 1,"D12.776.260.615.500, D12.776.930.618.500"
D051267,nf-e2-related factor 2,"D12.776.260.108.737, D12.776.930.127.737"
D051268,ga-binding protein transcription factor,"D12.776.260.615.249, D12.776.930.618.249"
D051269,sodium-glucose transporter 1,"D12.776.157.530.450.625.437.500, D12.776.157.530.500.750.500, D12.776.157.530.937.696, D12.776.543.585.450.625.562.500, D12.776.543.585.500.750.500, D12.776.543.585.937.821"
D051270,"headache disorders, primary",C10.228.140.546.399
D051271,"headache disorders, secondary",C10.228.140.546.699
D051272,glucose transporter type 1,"D12.776.157.530.500.500.500, D12.776.157.530.937.563.500, D12.776.543.585.500.500.500, D12.776.543.585.937.625.500"
D051273,glucose transporter type 2,"D12.776.157.530.500.500.750, D12.776.157.530.937.563.750, D12.776.543.585.500.500.750, D12.776.543.585.937.625.750"
D051274,glucose transporter type 3,"D12.776.157.530.500.500.875, D12.776.157.530.937.563.875, D12.776.543.585.500.500.875, D12.776.543.585.937.625.875, D12.776.631.480"
D051275,glucose transporter type 4,"D12.776.157.530.500.500.937, D12.776.157.530.937.563.937, D12.776.543.585.500.500.937, D12.776.543.585.937.625.937"
D051276,leucine transaminase,D08.811.913.477.700.535
D051277,succinyldiaminopimelate transaminase,D08.811.913.477.700.800
D051278,beta-alanine-pyruvate transaminase,D08.811.913.477.700.286
D051279,tryptophan transaminase,D08.811.913.477.700.850
D051296,glucose transporter type 5,"D12.776.157.530.500.500.968, D12.776.157.530.937.563.968, D12.776.543.585.500.500.968, D12.776.543.585.937.625.968"
D051297,sodium-glucose transporter 2,"D12.776.157.530.450.625.437.750, D12.776.157.530.500.750.750, D12.776.157.530.937.700, D12.776.543.585.450.625.562.750, D12.776.543.585.500.750.750, D12.776.543.585.937.825"
D051298,post-traumatic headache,C10.228.140.546.699.249
D051299,post-dural puncture headache,C10.228.140.546.699.124
D051300,wiskott-aldrich syndrome protein family,"D05.750.078.730.912, D12.776.220.525.912"
D051301,desmoglein 2,"D12.776.395.550.200.200.500.500.625, D12.776.543.550.200.200.500.500.625, D23.050.301.350.200.500.500.625"
D051302,paroxysmal hemicrania,C10.228.140.546.399.937.750
D051303,trigeminal autonomic cephalalgias,C10.228.140.546.399.937
D051304,profilins,"D05.750.078.730.637, D12.776.210.500.775, D12.776.220.525.637"
D051306,l-lysine 6-transaminase,D08.811.913.477.700.550
D051307,2-aminoadipate transaminase,D08.811.913.477.700.120
D051308,glycine transaminase,D08.811.913.477.700.525
D051316,wiskott-aldrich syndrome protein,"D05.750.078.730.912.500, D12.776.220.525.912.500"
D051317,"wiskott-aldrich syndrome protein, neuronal","D05.750.078.730.912.550, D12.776.220.525.912.550"
D051336,mitochondrial membranes,"A11.284.149.450.349, A11.284.835.514.349"
D051337,chemical terrorism,"I01.198.240.856.800.325, I01.880.735.900.800.150, I01.880.735.950.500.340.150"
D051338,cofilin 1,"D05.750.078.730.212.500, D12.776.220.525.212.500"
D051339,actin depolymerizing factors,"D05.750.078.730.212, D12.776.220.525.212"
D051340,cofilin 2,"D05.750.078.730.212.750, D12.776.210.500.242, D12.776.220.525.212.750"
D051341,dependent ambulation,G11.427.410.568.900.500
D051344,actin capping proteins,"D05.750.078.730.032, D12.776.220.525.032"
D051345,destrin,"D05.750.078.730.212.875, D12.776.220.525.212.875"
D051346,mobility limitation,C23.888.550
D051347,capz actin capping protein,"D05.750.078.730.032.500, D12.776.210.500.227, D12.776.220.525.032.500"
D051348,tropomodulin,"D05.750.078.730.032.750, D12.776.210.500.847, D12.776.220.525.032.750"
D051356,cortactin,"D05.750.078.730.281, D12.644.360.024.280, D12.776.157.057.014, D12.776.220.525.281, D12.776.476.024.311, D12.776.744.390"
D051357,cyclin-dependent kinase 2,"D08.811.913.696.620.682.700.646.500.750, D12.644.360.250.323, D12.776.167.200.323, D12.776.476.250.323"
D051358,cyclin-dependent kinase 4,"D08.811.913.696.620.682.700.646.500.875, D12.644.360.250.451, D12.776.167.200.451, D12.776.476.250.451"
D051359,"lymphohistiocytosis, hemophagocytic",C15.604.250.410.575
D051360,cyclin-dependent kinase 5,"D08.811.913.696.620.682.700.646.500.500.500, D12.644.360.250.067.875, D12.776.167.200.067.875, D12.776.476.250.067.875"
D051361,cyclin-dependent kinase 6,"D08.811.913.696.620.682.700.646.500.937, D12.644.360.250.515, D12.776.167.200.515, D12.776.476.250.515"
D051376,actin-related protein 2-3 complex,"D05.750.078.730.246, D12.776.220.525.246"
D051377,actin-related protein 2,"D05.750.078.730.246.500, D12.776.220.525.246.500"
D051378,actin-related protein 3,"D05.750.078.730.246.750, D12.776.220.525.246.750"
D051379,mice,B01.050.150.900.649.313.992.635.505.500
D051380,grb2 adaptor protein,"D12.644.360.024.290, D12.776.157.057.041, D12.776.476.024.377"
D051381,rats,B01.050.150.900.649.313.992.635.505.700
D051382,grb7 adaptor protein,"D12.644.360.024.299, D12.776.157.057.043, D12.776.476.024.379"
D051383,grb10 adaptor protein,"D12.644.360.024.300, D12.776.157.057.039, D12.776.476.024.380"
D051397,aquaglyceroporins,"D12.776.157.530.400.500.040.249, D12.776.543.550.450.730.040.249, D12.776.543.585.400.730.040.249"
D051398,aquaporin 1,"D12.776.157.530.400.500.040.374, D12.776.543.550.450.730.040.374, D12.776.543.585.400.730.040.436"
D051399,aquaporin 2,"D12.776.157.530.400.500.040.437, D12.776.543.550.450.730.040.437, D12.776.543.585.400.730.040.530"
D051400,aquaporin 3,"D12.776.157.530.400.500.040.249.500, D12.776.543.550.450.730.040.249.500, D12.776.543.585.400.730.040.249.500"
D051401,aquaporin 4,"D12.776.157.530.400.500.040.468, D12.776.543.550.450.730.040.468, D12.776.543.585.400.730.040.577"
D051402,aquaporin 5,"D12.776.157.530.400.500.040.484, D12.776.543.550.450.730.040.484, D12.776.543.585.400.730.040.600"
D051403,aquaporin 6,"D12.776.157.530.400.500.040.249.750, D12.776.543.550.450.730.040.249.750, D12.776.543.585.400.730.040.249.750"
D051416,focal adhesion protein-tyrosine kinases,"D08.811.913.696.620.682.725.049, D12.644.360.287, D12.776.476.287"
D051417,focal adhesion kinase 1,"D08.811.913.696.620.682.725.049.500, D12.776.744.493"
D051418,focal adhesion kinase 2,"D08.811.913.696.620.682.725.049.750, D23.050.301.500.600.350, D23.050.705.552.600.350"
D051419,paxillin,"D12.644.360.024.316, D12.776.157.057.092, D12.776.476.024.397, D12.776.512.374, D12.776.744.665"
D051436,"renal insufficiency, chronic","C12.777.419.780.750, C13.351.968.419.780.750"
D051437,renal insufficiency,"C12.777.419.780, C13.351.968.419.780"
D051438,syntaxin 16,"D12.776.543.512.249.500.500.750, D12.776.543.990.775.500.500.750"
D051445,fibrocartilage,"A02.165.308, A10.165.382.350"
D051456,gene flow,G05.330.159
D051457,hyaline cartilage,"A02.165.407, A10.165.382.400"
D051472,elastic cartilage,"A02.165.257, A10.165.382.300"
D051473,"maf transcription factors, large","D12.776.260.108.500.061, D12.776.930.127.500.061"
D051474,"neuralgia, postherpetic","C10.668.829.600.550, C23.888.592.612.664.550"
D051478,triangular fibrocartilage,"A02.165.308.800, A02.835.583.405.930.800, A10.165.382.350.800"
D051479,plant infertility,G15.649
D051496,"receptor, fibroblast growth factor, type 1","D08.811.913.696.620.682.725.400.177, D12.776.543.750.630.440, D12.776.543.750.750.400.370.500"
D051497,"receptor, fibroblast growth factor, type 2","D08.811.913.696.620.682.725.400.178, D12.776.543.750.630.441, D12.776.543.750.750.400.370.750"
D051498,"receptor, fibroblast growth factor, type 3","D08.811.913.696.620.682.725.400.179, D12.776.543.750.630.442, D12.776.543.750.750.400.370.875, D12.776.624.664.700.792"
D051499,"receptor, fibroblast growth factor, type 4","D08.811.913.696.620.682.725.400.180, D12.776.543.750.630.443, D12.776.543.750.750.400.370.937"
D051500,"receptor, fibroblast growth factor, type 5",D12.776.543.750.750.400.370.968
D051516,hemospermia,C12.294.293
D051517,digital rectal examination,E01.370.600.600.500
D051518,fibroblast growth factor 3,"D12.644.276.624.130, D12.776.467.624.130, D23.529.624.130"
D051519,fibroblast growth factor 4,"D12.644.276.624.140, D12.776.467.624.140, D12.776.624.664.700.110, D23.529.624.140"
D051520,antiperspirants,D27.720.269.189
D051521,fibroblast growth factor 5,"D12.644.276.624.150, D12.776.467.624.150, D23.529.624.150"
D051522,fibroblast growth factor 6,"D12.644.276.624.160, D12.776.467.624.160, D12.776.624.664.700.112, D23.529.624.160"
D051523,fibroblast growth factor 7,"D12.644.276.624.170, D12.776.467.624.170, D23.529.624.170"
D051524,fibroblast growth factor 8,"D12.644.276.624.180, D12.776.467.624.180, D23.529.624.180"
D051525,fibroblast growth factor 9,"D12.644.276.624.190, D12.776.467.624.190, D23.529.624.190"
D051526,fibroblast growth factor 10,"D12.644.276.624.200, D12.776.467.624.200, D23.529.624.200"
D051527,"odontogenic tumor, squamous",C04.557.695.607
D051528,guanylate kinases,D08.811.913.696.650.450
D051536,hepatocyte nuclear factors,"D12.776.260.262, D12.776.660.352, D12.776.930.318"
D051537,hepatocyte nuclear factor 1,"D12.776.260.262.500, D12.776.260.400.218, D12.776.660.352.500, D12.776.930.318.500"
D051538,hepatocyte nuclear factor 1-alpha,"D12.776.260.262.500.500, D12.776.260.400.218.500, D12.776.660.352.500.500, D12.776.930.318.500.500"
D051539,hepatocyte nuclear factor 1-beta,"D12.776.260.262.500.750, D12.776.260.400.218.750, D12.776.660.352.500.750, D12.776.930.318.500.750"
D051540,winged-helix transcription factors,"D12.776.260.950, D12.776.930.977"
D051541,hepatocyte nuclear factor 3-alpha,"D12.776.260.262.750, D12.776.260.950.249.500, D12.776.660.352.750, D12.776.930.318.750, D12.776.930.977.249.500"
D051542,hepatocyte nuclear factor 3-beta,"D12.776.260.262.875, D12.776.260.950.249.750, D12.776.660.352.875, D12.776.930.318.875, D12.776.930.977.249.750"
D051543,hepatocyte nuclear factor 3-gamma,"D12.776.260.262.937, D12.776.260.950.249.875, D12.776.660.352.937, D12.776.930.318.937, D12.776.930.977.249.875"
D051544,cytochrome p-450 cyp3a,"D08.244.453.860.500, D08.811.682.662.582.353, D08.811.682.690.708.170.495.500, D12.776.422.220.453.860.500"
D051545,cyclooxygenase 1,D08.811.600.720.500
D051546,cyclooxygenase 2,D08.811.600.720.750
D051547,heme oxygenase-1,D08.811.682.690.708.410.500
D051548,histone acetyltransferases,D08.811.913.050.134.415.500
D051549,glutathione s-transferase pi,D08.811.913.225.500.500
D051550,i-kappa b kinase,"D08.811.913.696.620.682.700.494, D12.644.360.361, D12.776.476.378"
D051552,beta-adrenergic receptor kinases,"D08.811.913.696.620.682.700.364.049, D12.644.360.293.249, D12.776.476.293.249"
D051556,"hyperbilirubinemia, neonatal","C16.614.451, C23.550.429.249"
D051557,hepatocyte nuclear factor 4,"D12.776.260.262.968, D12.776.660.352.968, D12.776.826.119, D12.776.930.318.968"
D051558,onecut transcription factors,"D12.776.260.400.624, D12.776.930.640"
D051559,hepatocyte nuclear factor 6,"D12.776.260.262.984, D12.776.260.400.624.500, D12.776.660.352.984, D12.776.930.318.984, D12.776.930.640.500"
D051560,proto-oncogene proteins c-bcl-6,"D12.776.260.660, D12.776.624.664.700.170, D12.776.930.715"
D051561,"complement c3 convertase, alternative pathway",D12.776.124.486.274.045.387.500.374
D051562,proto-oncogene proteins c-bcr,"D08.811.913.696.620.682.700.759, D12.644.360.325.300.099.500, D12.776.476.325.300.099.500, D12.776.624.664.700.171"
D051566,"complement c5 convertase, alternative pathway",D12.776.124.486.274.045.387.500.750
D051567,proto-oncogene proteins c-vav,"D12.644.360.024.321, D12.644.360.325.300.099.750, D12.776.157.057.155, D12.776.476.024.407, D12.776.476.325.300.099.750, D12.776.624.664.700.198"
D051571,protein kinase c-alpha,D08.811.913.696.620.682.700.725.100
D051572,proto-oncogene proteins c-hck,"D08.811.913.696.620.682.725.800.590, D12.776.624.664.700.181"
D051573,proto-oncogene proteins c-pim-1,"D08.811.913.696.620.682.700.776, D12.776.624.664.700.191"
D051574,"complement c3 convertase, classical pathway",D12.776.124.486.274.045.387.750.500
D051575,proto-oncogene proteins c-yes,"D08.811.913.696.620.682.725.800.610, D12.776.624.664.700.199"
D051577,"complement c5 convertase, classical pathway",D12.776.124.486.274.045.387.750.750
D051578,proto-oncogene proteins c-fes,"D08.811.913.696.620.682.725.300, D12.776.624.664.700.177"
D051579,neurogranin,"D12.776.157.142.500, D12.776.631.640"
D051580,neuronal calcium-sensor proteins,"D12.644.360.372.500, D12.776.157.125.412.500, D12.776.476.387.500, D12.776.631.645"
D051596,neurocalcin,"D12.644.360.372.500.500, D12.776.157.125.412.500.500, D12.776.476.387.500.500, D12.776.631.645.500"
D051597,hippocalcin,"D12.644.360.372.500.249, D12.776.157.125.412.500.249, D12.776.476.387.500.249, D12.776.631.645.249"
D051598,whole body imaging,"E01.370.350.925, E05.979"
D051599,glucose-1-phosphate adenylyltransferase,D08.811.913.696.445.400
D051603,recoverin,"D12.644.360.372.500.750, D12.776.157.125.412.500.750, D12.776.306.750, D12.776.476.387.500.750, D12.776.631.645.750"
D051604,guanylate cyclase-activating proteins,"D12.644.360.372.500.124, D12.776.157.125.412.500.124, D12.776.306.433, D12.776.476.387.500.124, D12.776.631.645.124"
D051605,kv channel-interacting proteins,"D12.644.360.372.500.374, D12.776.157.125.412.500.374, D12.776.476.387.500.374, D12.776.631.645.374"
D051606,g-protein-coupled receptor kinase 1,"D08.811.913.696.620.682.700.364.100, D12.644.360.293.500, D12.776.306.399, D12.776.476.293.500"
D051607,cdp-diacylglycerol-inositol 3-phosphatidyltransferase,D08.811.913.696.900.074
D051616,neuronal apoptosis-inhibitory protein,"D08.811.464.938.750.210.500, D12.644.360.075.437.500, D12.776.476.075.437.500, D12.776.631.642"
D051636,x-linked inhibitor of apoptosis protein,"D08.811.464.938.750.210.750, D12.644.360.075.437.750, D12.776.476.075.437.750"
D051637,shaker superfamily of potassium channels,"D12.776.157.530.400.600.900.500, D12.776.543.550.450.750.900.500, D12.776.543.585.400.750.900.624"
D051638,ether-a-go-go potassium channels,"D12.776.157.530.400.600.900.249, D12.776.543.550.450.750.900.249, D12.776.543.585.400.750.900.249"
D051639,gardening,"I03.450.642.581.500, J01.040.498.500"
D051640,small-conductance calcium-activated potassium channels,"D12.776.157.530.400.600.150.750, D12.776.543.550.450.750.150.750, D12.776.543.585.400.750.150.750"
D051642,histiocytoma,C04.557.450.565.590.425
D051656,kcnq potassium channels,"D12.776.157.530.400.600.900.124.249, D12.776.543.550.450.750.900.124.249, D12.776.543.585.400.750.900.124.249"
D051657,kcnq1 potassium channel,"D12.776.157.530.400.600.900.124.249.500, D12.776.543.550.450.750.900.124.249.500, D12.776.543.585.400.750.900.124.249.500"
D051658,kcnq2 potassium channel,"D12.776.157.530.400.600.900.124.249.750, D12.776.543.550.450.750.900.124.249.750, D12.776.543.585.400.750.900.124.249.750"
D051659,kcnq3 potassium channel,"D12.776.157.530.400.600.900.124.249.875, D12.776.543.550.450.750.900.124.249.875, D12.776.543.585.400.750.900.124.249.875"
D051660,intermediate-conductance calcium-activated potassium channels,"D12.776.157.530.400.600.150.249, D12.776.543.550.450.750.150.249, D12.776.543.585.400.750.150.249"
D051662,kv1.1 potassium channel,"D12.776.157.530.400.600.900.500.124, D12.776.543.550.450.750.900.124.311, D12.776.543.550.450.750.900.500.124, D12.776.543.585.400.750.900.624.124"
D051663,kv1.2 potassium channel,"D12.776.157.530.400.600.900.500.186, D12.776.543.550.450.750.900.124.342, D12.776.543.550.450.750.900.500.186, D12.776.543.585.400.750.900.624.186"
D051664,kv1.3 potassium channel,"D12.776.157.530.400.600.900.500.217, D12.776.543.550.450.750.900.124.358, D12.776.543.585.400.750.900.624.217"
D051665,kv1.4 potassium channel,"D12.776.157.530.400.600.900.500.233, D12.776.543.550.450.750.900.500.233, D12.776.543.585.400.750.900.624.233"
D051666,kv1.5 potassium channel,"D12.776.157.530.400.600.900.124.374, D12.776.157.530.400.600.900.500.241, D12.776.543.550.450.750.900.124.374, D12.776.543.550.450.750.900.500.241, D12.776.543.585.400.750.900.124.374, D12.776.543.585.400.750.900.624.241"
D051667,kv1.6 potassium channel,"D12.776.157.530.400.600.900.500.245, D12.776.543.550.450.750.900.124.437, D12.776.543.585.400.750.900.624.245"
D051668,delayed rectifier potassium channels,"D12.776.157.530.400.600.900.124, D12.776.543.550.450.750.900.124, D12.776.543.585.400.750.900.124"
D051669,shab potassium channels,"D12.776.157.530.400.600.900.124.500, D12.776.157.530.400.600.900.500.249, D12.776.543.550.450.750.900.124.500, D12.776.543.550.450.750.900.500.249, D12.776.543.585.400.750.900.124.500, D12.776.543.585.400.750.900.624.249"
D051670,shaw potassium channels,"D12.776.157.530.400.600.900.500.750, D12.776.543.550.450.750.900.500.750, D12.776.543.585.400.750.900.624.750"
D051672,shal potassium channels,"D12.776.157.530.400.600.900.500.625, D12.776.543.550.450.750.900.500.625, D12.776.543.585.400.750.900.624.625"
D051676,g protein-coupled inwardly-rectifying potassium channels,"D12.776.157.530.400.600.450.500, D12.776.543.550.450.750.450.500, D12.776.543.585.400.750.450.500"
D051677,"histiocytoma, malignant fibrous","C04.557.450.565.590.425.360, C04.557.450.795.400"
D051696,activating transcription factors,"D12.776.260.108.061, D12.776.930.127.061"
D051697,activating transcription factor 1,"D12.776.260.108.061.500, D12.776.930.127.061.500"
D051698,activating transcription factor 2,"D12.776.260.108.061.750, D12.776.930.127.061.750"
D051699,cyclic amp response element-binding protein a,"D12.776.260.108.186, D12.776.930.127.186"
D051700,activating transcription factor 3,"D12.776.260.108.061.875, D12.776.930.127.061.875"
D051701,activating transcription factor 4,"D12.776.260.108.061.937, D12.776.930.127.061.937"
D051702,activating transcription factor 6,"D12.644.360.011, D12.776.260.108.061.968, D12.776.476.011, D12.776.930.127.061.968"
D051703,sp transcription factors,"D12.776.260.522.750, D12.776.930.375.750"
D051704,sp2 transcription factor,"D12.776.260.522.750.500, D12.776.930.375.750.500"
D051705,sp3 transcription factor,"D12.776.260.522.750.750, D12.776.930.375.750.750"
D051706,sp4 transcription factor,"D12.776.260.522.750.875, D12.776.930.375.750.875"
D051716,replication protein a,D12.776.260.700
D051717,fushi tarazu transcription factors,"D12.776.260.400.155, D12.776.930.312"
D051718,muts homolog 2 protein,"D08.811.074.844.750, D08.811.277.040.025.292.750, D12.776.260.556.750, D12.776.624.664.700.130"
D051719,muts dna mismatch-binding protein,"D08.811.074.844.500, D08.811.277.040.025.292.500, D12.776.097.537, D12.776.260.556.500"
D051720,upstream stimulatory factors,"D12.776.260.103.937, D12.776.930.125.937"
D051721,rad52 dna repair and recombination protein,D12.776.260.696
D051722,adam proteins,"D08.811.277.656.675.374.102, D09.400.430.500, D12.776.395.033"
D051736,proto-oncogene proteins c-mdm2,"D08.811.464.938.750.562, D12.776.624.664.700.185, D12.776.660.764"
D051738,origin recognition complex,D12.776.260.640
D051739,microphthalmia-associated transcription factor,"D12.776.260.103.500.500, D12.776.260.108.092.500, D12.776.930.125.500.500, D12.776.930.127.092.500"
D051740,ikaros transcription factor,"D12.776.260.522.500, D12.776.930.375.500"
D051741,kruppel-like transcription factors,"D12.776.260.522, D12.776.930.375"
D051742,transcription factor chop,"D12.776.260.108.124.875, D12.776.660.167.875, D12.776.930.127.124.875"
D051743,ccaat-enhancer-binding protein-delta,"D12.776.260.108.124.812, D12.776.660.167.812, D12.776.930.127.124.812"
D051744,protein kinase c-epsilon,D08.811.913.696.620.682.700.725.750
D051745,protein kinase c-delta,D08.811.913.696.620.682.700.725.400
D051746,zap-70 protein-tyrosine kinase,"D08.811.913.696.620.682.725.900, D12.776.476.950"
D051747,dna-activated protein kinase,"D08.811.913.696.620.682.700.250, D12.776.157.687.438, D12.776.660.720.438"
D051756,leucine-responsive regulatory protein,"D12.776.260.527, D12.776.930.386"
D051757,pax5 transcription factor,"D12.776.260.645.500, D12.776.930.700.500"
D051758,transcription factor tfiih,"D12.776.260.775.875.875, D12.776.930.930.875.875"
D051759,xeroderma pigmentosum group d protein,"D08.811.277.040.025.159.500, D08.811.399.340.500, D12.776.260.775.875.875.500, D12.776.930.930.875.875.500"
D051760,xeroderma pigmentosum group a protein,"D12.776.157.687.875, D12.776.260.975, D12.776.660.720.875"
D051761,paired box transcription factors,"D12.776.260.645, D12.776.930.700"
D051762,pax2 transcription factor,"D12.776.260.645.750, D12.776.930.700.750"
D051763,pax7 transcription factor,"D12.776.260.400.812, D12.776.260.645.875, D12.776.930.700.875"
D051764,pax9 transcription factor,"D12.776.260.645.937, D12.776.930.700.937"
D051765,early growth response transcription factors,"D12.776.260.158, D12.776.460.525, D12.776.930.213"
D051766,early growth response protein 1,"D12.776.260.158.500, D12.776.460.525.500, D12.776.930.213.500"
D051767,early growth response protein 2,"D12.776.260.158.750, D12.776.460.525.750, D12.776.930.213.750"
D051776,early growth response protein 3,"D12.776.260.158.875, D12.776.460.525.875, D12.776.930.213.875"
D051777,arac transcription factor,"D12.776.097.049, D12.776.260.703.099, D12.776.930.780.500"
D051778,basic helix-loop-helix leucine zipper transcription factors,"D12.776.260.103.500, D12.776.260.108.092, D12.776.930.125.500, D12.776.930.127.092"
D051779,sterol regulatory element binding proteins,"D12.776.260.103.500.750, D12.776.260.108.092.750, D12.776.930.125.500.750, D12.776.930.127.092.750"
D051780,sterol regulatory element binding protein 1,"D12.776.260.103.500.750.500, D12.776.260.108.092.750.500, D12.776.930.125.500.750.500, D12.776.930.127.092.750.500"
D051782,sterol regulatory element binding protein 2,"D12.776.260.103.500.750.750, D12.776.260.108.092.750.750, D12.776.930.125.500.750.750, D12.776.930.127.092.750.750"
D051783,methyl-cpg-binding protein 2,"D12.776.260.536, D12.776.660.235.550, D12.776.664.235.700"
